date,prize_1st,prize_pre_3digit,prize_sub_3digits,prize_2digits
01/04/2026,292514,"['406', '113']","['851', '098']",47
16/03/2026,833009,"['510', '983']","['439', '954']",64
01/03/2026,820866,"['479', '054']","['068', '837']",06
16/02/2026,340563,"['527', '241']","['578', '169']",07
01/02/2026,174629,"['917', '195']","['408', '041']",48
17/01/2026,878972,"['299', '815']","['662', '363']",02
02/01/2026,837706,"['694', '347']","['288', '765']",16
16/12/2025,763895,"['431', '176']","['014', '449']",52
01/12/2025,461252,"['655', '389']","['137', '995']",22
16/11/2025,458145,"['602', '242']","['389', '239']",37
01/11/2025,345898,"['449', '328']","['111', '690']",87
16/10/2025,059696,"['955', '531']","['889', '476']",61
01/10/2025,876978,"['843', '532']","['280', '605']",77
16/09/2025,074646,"['740', '512']","['308', '703']",58
01/09/2025,506356,"['131', '012']","['022', '209']",31
16/08/2025,994865,"['602', '247']","['834', '989']",63
01/08/2025,811852,"['525', '142']","['891', '512']",50
16/07/2025,245324,"['995', '171']","['084', '336']",26
01/07/2025,949246,"['680', '169']","['918', '261']",91
16/06/2025,507392,"['243', '017']","['299', '736']",06
01/06/2025,559352,"['349', '134']","['307', '044']",20
16/05/2025,251309,"['109', '231']","['965', '631']",87
02/05/2025,213388,"['826', '116']","['167', '662']",06
16/04/2025,266227,"['413', '254']","['474', '760']",85
01/04/2025,669687,"['635', '760']","['180', '666']",36
16/03/2025,757563,"['595', '927']","['457', '309']",32
01/03/2025,818894,"['139', '530']","['781', '656']",54
16/02/2025,847377,"['268', '613']","['652', '001']",50
01/02/2025,558700,"['285', '418']","['824', '685']",51
17/01/2025,807779,"['961', '699']","['448', '477']",23
02/01/2025,730209,"['446', '065']","['376', '297']",51
16/12/2024,097863,"['290', '742']","['339', '881']",21
01/12/2024,669843,"['559', '626']","['098', '654']",61
16/11/2024,187221,"['036', '923']","['980', '547']",38
01/11/2024,536044,"['174', '225']","['063', '231']",32
16/10/2024,482962,"['561', '648']","['493', '919']",00
01/10/2024,718665,"['053', '812']","['079', '566']",59
16/09/2024,608662,"['230', '904']","['008', '408']",37
01/09/2024,199606,"['173', '220']","['094', '388']",94
16/08/2024,095867,"['212', '334']","['697', '728']",28
01/08/2024,407041,"['408', '579']","['622', '070']",46
16/07/2024,367336,"['011', '331']","['421', '618']",21
01/07/2024,434503,"['839', '975']","['647', '778']",89
16/06/2024,518504,"['016', '428']","['426', '447']",31
01/06/2024,530593,"['194', '364']","['421', '734']",42
16/05/2024,205690,"['885', '747']","['137', '070']",60
02/05/2024,980116,"['104', '763']","['634', '833']",17
16/04/2024,943598,"['729', '727']","['154', '200']",79
01/04/2024,803481,"['122', '809']","['559', '947']",90
16/03/2024,997626,"['571', '509']","['794', '329']",78
01/03/2024,253603,"['900', '975']","['382', '703']",79
16/02/2024,941395,"['056', '330']","['587', '375']",43
01/02/2024,607063,"['454', '943']","['544', '591']",09
17/01/2024,105979,"['429', '931']","['196', '635']",61
30/12/2023,625544,"['600', '648']","['882', '456']",89
16/12/2023,356757,"['058', '410']","['584', '964']",85
01/12/2023,251097,"['055', '265']","['092', '280']",91
16/11/2023,557990,"['346', '412']","['778', '961']",14
01/11/2023,743951,"['335', '913']","['019', '349']",63
16/10/2023,931446,"['167', '398']","['272', '970']",44
01/10/2023,727202,"['355', '324']","['426', '615']",66
16/09/2023,320812,"['037', '699']","['057', '344']",46
01/09/2023,915478,"['521', '596']","['692', '291']",91
16/08/2023,471782,"['431', '739']","['737', '742']",67
31/07/2023,260453,"['268', '708']","['387', '601']",11
16/07/2023,169530,"['261', '384']","['066', '780']",62
01/07/2023,922605,"['281', '867']","['491', '947']",16
16/06/2023,264872,"['519', '628']","['202', '874']",30
01/06/2023,125272,"['000', '681']","['386', '971']",09
16/05/2023,132903,"['739', '678']","['693', '731']",99
02/05/2023,843019,"['500', '780']","['269', '187']",65
16/04/2023,984906,"['670', '678']","['797', '551']",71
01/04/2023,087907,"['111', '914']","['290', '698']",99
16/03/2023,025873,"['420', '800']","['355', '544']",73
01/03/2023,417652,"['577', '919']","['748', '984']",55
16/02/2023,590417,"['195', '664']","['377', '523']",80
01/02/2023,297411,"['181', '789']","['101', '664']",92
17/01/2023,812519,"['389', '443']","['564', '849']",47
30/12/2022,157196,"['007', '522']","['250', '425']",58
16/12/2022,845093,"['912', '411']","['855', '593']",14
01/12/2022,375805,"['170', '786']","['409', '421']",08
16/11/2022,121789,"['722', '532']","['157', '973']",64
01/11/2022,913106,"['722', '839']","['343', '922']",70
16/10/2022,613106,"['037', '158']","['606', '799']",15
01/10/2022,484669,"['206', '996']","['194', '278']",50
16/09/2022,943703,"['971', '540']","['631', '432']",75
01/09/2022,929332,"['298', '725']","['210', '604']",83
16/08/2022,331583,"['271', '300']","['284', '876']",42
01/08/2022,436594,"['893', '266']","['447', '282']",14
16/07/2022,620405,"['159', '834']","['061', '279']",53
01/07/2022,981417,"['287', '242']","['002', '542']",61
16/06/2022,361807,"['549', '285']","['228', '106']",92
01/06/2022,319196,"['679', '817']","['213', '652']",02
16/05/2022,155012,"['247', '736']","['236', '540']",06
02/05/2022,658642,"['778', '518']","['041', '325']",09
16/04/2022,395919,"['289', '859']","['413', '508']",58
01/04/2022,970618,"['738', '391']","['578', '870']",10
16/03/2022,737867,"['349', '985']","['989', '788']",03
01/03/2022,061905,"['236', '834']","['234', '691']",07
17/02/2022,098597,"['085', '644']","['592', '816']",57
01/02/2022,944308,"['942', '061']","['509', '485']",30
17/01/2022,880159,"['731', '786']","['119', '529']",92
30/12/2021,819068,"['591', '979']","['419', '547']",36
16/12/2021,639235,"['097', '629']","['476', '522']",83
01/12/2021,077258,"['739', '740']","['401', '485']",82
16/11/2021,032761,"['648', '471']","['844', '245']",57
01/11/2021,045037,"['247', '458']","['331', '755']",95
16/10/2021,386372,"['602', '964']","['295', '798']",38
01/10/2021,578171,"['285', '361']","['379', '449']",83
16/09/2021,070935,"['609', '817']","['379', '007']",90
01/09/2021,114475,"['278', '302']","['123', '458']",79
16/08/2021,046750,"['421', '666']","['160', '355']",23
01/08/2021,910261,"['103', '307']","['004', '785']",69
16/07/2021,556725,"['058', '174']","['233', '927']",70
01/07/2021,713517,"['794', '073']","['511', '414']",29
16/06/2021,691861,"['054', '007']","['447', '668']",17
01/06/2021,292972,"['620', '193']","['978', '723']",45
16/05/2021,684579,"['615', '843']","['276', '970']",14
02/05/2021,501272,"['306', '018']","['498', '129']",18
16/04/2021,100787,"['013', '143']","['264', '478']",56
01/04/2021,472270,"['755', '283']","['393', '577']",05
16/03/2021,890422,"['036', '902']","['396', '256']",19
01/03/2021,835538,"['290', '838']","['051', '806']",73
16/02/2021,424603,"['861', '318']","['057', '817']",39
01/02/2021,912307,"['605', '248']","['282', '651']",97
17/01/2021,384395,"['367', '653']","['566', '878']",15
30/12/2020,803628,"['336', '804']","['321', '924']",19
16/12/2020,201303,"['377', '828']","['072', '517']",70
01/12/2020,100994,"['093', '776']","['834', '984']",84
16/11/2020,972661,"['368', '741']","['208', '255']",46
01/11/2020,506404,"['154', '598']","['062', '245']",40
16/10/2020,286051,"['189', '464']","['980', '045']",38
01/10/2020,837893,"['594', '757']","['110', '595']",59
16/09/2020,244083,"['127', '220']","['623', '853']",57
01/09/2020,999997,"['636', '725']","['342', '957']",98
16/08/2020,945811,"['712', '614']","['364', '733']",88
01/08/2020,569391,"['575', '931']","['578', '809']",92
16/07/2020,873286,"['510', '533']","['682', '494']",53
01/07/2020,347258,"['095', '362']","['094', '307']",83
16/06/2020,516967,"['876', '882']","['565', '625']",64
01/06/2020,831567,"['264', '489']","['562', '582']",24
16/05/2020,051095,"['285', '430']","['191', '364']",22
01/04/2020,051095,"['285', '430']","['191', '364']",22
16/03/2020,503446,"['258', '726']","['404', '661']",77
01/03/2020,875938,"['294', '328']","['597', '780']",98
16/02/2020,781403,"['515', '952']","['030', '918']",94
01/02/2020,589227,"['259', '552']","['375', '927']",06
17/01/2020,491774,"['004', '132']","['379', '595']",68
30/12/2019,510541,"['116', '382']","['140', '250']",81
16/12/2019,529924,"['043', '138']","['555', '665']",97
01/12/2019,453522,"['617', '261']","['457', '013']",81
16/11/2019,017223,"['164', '640']","['085', '194']",32
01/11/2019,967375,"['323', '806']","['021', '206']",79
16/10/2019,812564,"['255', '625']","['132', '598']",15
01/10/2019,691197,"['392', '920']","['606', '797']",59
16/09/2019,340388,"['947', '733']","['925', '939']",85
01/09/2019,798787,"['210', '847']","['274', '439']",20
16/08/2019,775476,"['149', '912']","['563', '580']",89
01/08/2019,387006,"['135', '983']","['562', '795']",58
15/07/2019,369765,"['901', '355']","['556', '113']",88
01/07/2019,943647,"['239', '864']","['006', '375']",86
16/06/2019,174055,"['625', '884']","['127', '800']",29
01/06/2019,516461,"['589', '713']","['215', '560']",46
16/05/2019,962526,"['669', '949']","['018', '828']",71
02/05/2019,061324,"['043', '476']","['374', '699']",25
16/04/2019,570331,"['512', '930']","['966', '968']",23
01/04/2019,109767,"['888', '959']","['403', '975']",52
16/03/2019,724628,"['148', '883']","['154', '877']",64
01/03/2019,345650,"['137', '999']","['830', '837']",65
16/02/2019,074824,"['881', '910']","['612', '879']",56
01/02/2019,967134,"['643', '779']","['197', '948']",04
17/01/2019,197079,"['206', '412']","['127', '660']",65
30/12/2018,735867,"['031', '913']","['701', '884']",02
16/12/2018,356564,"['480', '948']","['297', '369']",62
01/12/2018,021840,"['045', '307']","['561', '988']",67
16/11/2018,989903,"['471', '930']","['140', '876']",16
01/11/2018,149840,"['384', '576']","['046', '509']",58
16/10/2018,200515,"['186', '392']","['192', '212']",93
01/10/2018,452643,"['726', '594']","['810', '561']",99
16/09/2018,149760,"['323', '539']","['155', '297']",79
01/09/2018,734510,"['512', '464']","['202', '097']",26
16/08/2018,586117,"['670', '340']","['815', '591']",10
01/08/2018,386602,"['832', '903']","['549', '726']",78
16/07/2018,596324,"['403', '530']","['138', '362']",27
01/07/2018,963623,"['429', '901']","['210', '217']",83
16/06/2018,223131,"['432', '507']","['132', '868']",46
01/06/2018,988117,"['310', '553']","['248', '650']",95
16/05/2018,075629,"['357', '130']","['506', '047']",20
02/05/2018,248038,"['527', '980']","['225', '602']",85
16/04/2018,739229,"['273', '654']","['076', '526']",60
01/04/2018,412073,"['131', '787']","['638', '924']",85
16/03/2018,218559,"['064', '720']","['205', '489']",82
02/03/2018,759415,"['318', '870']","['589', '723']",29
16/02/2018,309915,"['007', '388']","['230', '748']",39
01/02/2018,026853,"['106', '947']","['181', '519']",31
17/01/2018,203823,"['624', '799']","['236', '397']",50
30/12/2017,911234,"['495', '373']","['953', '504']",98
16/12/2017,955596,"['616', '836']","['290', '938']",89
01/12/2017,451005,"['626', '303']","['601', '257']",33
16/11/2017,292391,"['831', '961']","['477', '628']",98
01/11/2017,533726,"['165', '425']","['485', '036']",85
16/10/2017,413494,"['180', '971']","['128', '287']",86
01/10/2017,880714,"['611', '726']","['462', '952']",52
16/09/2017,170143,"['172', '647']","['340', '388']",71
01/09/2017,143224,"['345', '679']","['195', '278']",65
16/08/2017,715431,"['115', '302']","['253', '945']",37
01/08/2017,756519,"['061', '386']","['787', '989']",36
16/07/2017,820327,"['584', '835']","['390', '823']",87
01/07/2017,112360,"['226', '489']","['005', '688']",26
16/06/2017,943142,"['626', '878']","['740', '373']",47
01/06/2017,053630,"['121', '218']","['581', '881']",61
16/05/2017,454891,"['008', '396']","['490', '603']",53
02/05/2017,008656,"['573', '949']","['773', '923']",35
16/04/2017,816729,"['766', '973']","['241', '807']",40
01/04/2017,392785,"['020', '057']","['500', '709']",80
16/03/2017,273863,"['324', '918']","['694', '941']",92
01/03/2017,978453,"['450', '560']","['052', '577']",78
16/02/2017,229116,"['128', '464']","['375', '953']",14
01/02/2017,054672,"['066', '807']","['426', '628']",42
17/01/2017,145157,"['511', '663']","['516', '836']",25
30/12/2016,377712,"['304', '890']","['477', '769']",46
16/12/2016,435286,"['596', '366']","['716', '199']",35
01/12/2016,086069,"['513', '873']","['148', '450']",77
16/11/2016,858383,"['682', '040']","['570', '558']",44
01/11/2016,785438,"['976', '824']","['752', '038']",86
16/10/2016,571947,"['692', '885']","['032', '587']",98
01/10/2016,887102,"['280', '194']","['458', '017']",33
16/09/2016,240650,"['583', '493']","['043', '160']",42
01/09/2016,638684,"['334', '335']","['630', '669']",62
16/08/2016,254004,"['966', '366']","['596', '631']",33
01/08/2016,272932,"['538', '983']","['472', '871']",57
16/07/2016,449764,"['734', '552']","['925', '158']",55
01/07/2016,082460,"['169', '609']","['173', '302']",53
